Authors,Article Title,Source Title,Publication Year,DOI,Source DB
"renn, ka","lgbt student leaders and queer activists: identities of lesbian, gay, bisexual, transgender, and queer identified college student leaders and activists",JOURNAL OF COLLEGE STUDENT DEVELOPMENT,2007,10.1353/csd.2007.0029,WOS
"onorato, s; musoba, gd",la lider: developing a leadership identity as a hispanic woman at a hispanic-serving institution,JOURNAL OF COLLEGE STUDENT DEVELOPMENT,2015,10.1353/csd.2015.0003,WOS
"chen, lu",thinking paradoxically: how and when female narcissistic leaders integrate gender–leader identities.,Social Behavior and Personality: An International Journal,2018,10.2224/sbp.6910,PsycInfo
"kragt, d; day, dv",predicting leadership competency development and promotion among high-potential executives:therole of leader identity,FRONTIERS IN PSYCHOLOGY,2020,10.3389/fpsyg.2020.01816,WOS
"rong, pf; wang, c","ceo turnover, leadership identity, and tmt creativity in a cross-cultural context",FRONTIERS IN PSYCHOLOGY,2021,10.3389/fpsyg.2021.610526,WOS
"chen, jineng ; zheng, wei ; jiang, binbin",the impact of moral leadership on physical education teachers’ innovation behavior: the role of identification with leader and psychological safety.,Frontiers in Psychology,2022,10.3389/fpsyg.2022.1030245,PsycInfo
"mumtaz, s",the double-edged sword: unraveling the dual outcomes of workplace humor on the social identity of employees,INTERNATIONAL REVIEW OF SOCIAL PSYCHOLOGY,2024,10.5334/irsp.935,WOS
"stewart, gl; astrove, sl; reeves, cj; crawford, er; solimeo, sl",those with the most find it hardest to share: exploring leader resistance to the implementation of team-based empowerment,ACADEMY OF MANAGEMENT JOURNAL,2017,10.5465/amj.2015.1173,WOS
"petriglieri, gianpiero ; peshkam, annie",stranger leaders: a theory of marginal leaders’ conception of learning in organizations.,Academy of Management Journal,2022,10.5465/amj.2019.0162,PsycInfo
"zaar, s; van den bossche, p; gijselaers, w",how business students think about leadership: a qualitative study on leader identity and meaning-making,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,2020,10.5465/amle.2017.0290,WOS
"yip, j; trainor, ll; black, h; soto-torres, l; reichard, rj",coaching new leaders: a relational process of integrating multiple identities,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,2020,10.5465/amle.2017.0449,WOS
"derue, ds; ashford, sj",who will lead and who will follow? a social process of leadership identity construction in organizations,ACADEMY OF MANAGEMENT REVIEW,2010,10.5465/amr.2010.53503267,WOS
